review,sentiment
I was unsure about using the bank because it wasn't possible to get accurate information.,negative
I wasn't sure about using this bank because it wasn't possible to get accurate information about the services.,negative
I wasn't sure about using this bank because it wasn't possible to get accurate information about the services it offered.,negative
I was unsure about using this bank because it was not possible to get accurate information about the services it offers.,negative
I wasn't sure about using this bank because it wasn't possible to get accurate information.,negative
Problems with my bills and expenses have been caused by the slow processing of transactions by the STB.,negative
Problems with my bills and expenses have been caused by the slow processing of transactions by STB.,negative
I have problems with my bills and expenses because of the slow processing of transactions by STB.,negative
I have problems with my bills and expenses because of the slow processing of transactions by the STB.,negative
I have problems with my bills and expenses because of the slow processing of transactions.,negative
I have problems with my bills and expenses due to the slow processing of transactions by the STB.,negative
I have problems with my bills and expenses due to the slow processing of transactions by STB.,negative
I have had problems with my bills and expenses because of the slow processing of transactions by STB.,negative
I have had problems with my bills and expenses because of the slow processing of transactions.,negative
I have had problems with my bills and expenses because of the slow processing of transactions by the STB.,negative
The site is slow and unfriendly.,negative
The site is unfriendly and slow.,negative
The website is slow and unfriendly.,negative
"The site is slow and unfriendly, and I had trouble accessing my online account with it.",negative
The site is slow and unfriendly and I had trouble with it.,negative
"The site is slow and unfriendly, and I had trouble with it.",negative
The site is slow and unfriendly and I had trouble accessing my online account with it.,negative
"The site is slow and unfriendly, and I had trouble accessing my account with it.",negative
The site is very slow and unfriendly.,negative
The site is slow and unfriendly and I had trouble accessing my account.,negative
STB has a bad reputation in Tunisia because of their poor service.,negative
STB has a poor reputation in Tunisia because of their poor service.,negative
"For good reason, the service of STB is very poor in Tunisia.",negative
STB has a poor reputation in Tunisia because of their service.,negative
"For good reason, the service of the STB is very poor in Tunisia.",negative
STB has a bad reputation in Tunisia because their service is very poor.,negative
The service of STB in Tunisia is very poor.,negative
STB has a bad reputation in Tunisia because their service is poor.,negative
STB has a poor reputation in Tunisia because their service is very poor.,negative
"For good reason, the service of STB in Tunisia is poor.",negative
I tried to cancel the transfer but it was difficult and I had to give up.,negative
I tried to cancel the transfer but the process was very difficult and I had to give up.,negative
I tried to cancel the transfer but it was very difficult and I had to give up.,negative
I tried to cancel a transfer but the process was very difficult and I had to give up.,negative
"I tried to cancel the transfer, but the process was very difficult and I had to give up.",negative
"I tried to cancel the transfer, but it was difficult and I had to give up.",negative
"I tried to cancel the transfer, but it was very difficult and I had to give up.",negative
I tried to cancel the transfer but the process was difficult and I had to give up.,negative
"I tried to cancel the transfer, but the process was difficult and I had to give up.",negative
"I tried to cancel a transfer with STB, but the process was very difficult and I had to give up.",negative
